iter	Passed	Remaining
0	157	157485
1	159	79408
2	160	53397
3	162	40389
4	163	32521
5	164	27308
6	166	23559
7	167	20738
8	169	18690
9	171	16978
10	172	15545
11	174	14350
12	176	13390
13	177	12522
14	179	11789
15	180	11125
16	182	10548
17	184	10085
18	186	9626
19	188	9220
20	189	8833
21	190	8478
22	191	8149
23	193	7855
24	194	7577
25	195	7331
26	197	7103
27	199	6915
28	200	6728
29	202	6538
30	203	6357
31	204	6196
32	206	6039
33	207	5902
34	209	5764
35	210	5640
36	211	5515
37	213	5402
38	215	5301
39	216	5195
40	217	5088
41	218	4990
42	219	4894
43	221	4810
44	222	4729
45	224	4649
46	225	4573
47	226	4497
48	228	4442
49	230	4375
50	231	4311
51	233	4252
52	234	4194
53	236	4136
54	237	4079
55	238	4025
56	240	3971
57	241	3920
58	243	3881
59	244	3837
60	246	3792
61	247	3750
62	248	3702
63	250	3656
64	251	3613
65	252	3572
66	253	3532
67	254	3491
68	255	3452
69	257	3415
70	259	3395
71	260	3360
72	262	3329
73	263	3298
74	265	3269
75	266	3241
76	268	3220
77	270	3192
78	271	3162
79	272	3134
80	274	3119
81	276	3092
82	277	3064
83	278	3035
84	279	3008
85	280	2982
86	281	2958
87	283	2934
88	284	2910
89	285	2886
90	286	2864
91	288	2845
92	289	2828
93	291	2806
94	292	2784
95	293	2764
96	294	2744
97	295	2723
98	296	2700
99	297	2680
100	298	2660
101	300	2642
102	301	2623
103	302	2605
104	304	2594
105	305	2576
106	306	2559
107	307	2543
108	309	2527
109	310	2510
110	311	2494
111	312	2478
112	313	2462
113	314	2447
114	316	2432
115	317	2417
116	319	2410
117	320	2397
118	321	2383
119	323	2369
120	324	2355
121	325	2341
122	326	2327
123	327	2314
124	328	2301
125	329	2287
126	330	2275
127	332	2263
128	334	2257
129	335	2247
130	336	2235
131	338	2223
132	339	2210
133	340	2198
134	341	2186
135	342	2176
136	343	2164
137	344	2153
138	345	2142
139	346	2130
140	348	2120
141	350	2114
142	350	2102
143	351	2091
144	353	2083
145	354	2074
146	355	2065
147	357	2055
148	358	2046
149	359	2037
150	361	2030
151	362	2020
152	366	2028
153	369	2031
154	372	2031
155	375	2033
